Dataset,Method,Mix_Rate,Accuracy
celebA-0,TopK 0.1,0.1,0.21666666865348816
celebA-0,TopK 0.1,0.1,0.4555555582046509
celebA-0,TopK 0.1,0.1,0.27222222089767456
celebA-0,TopK 0.1,0.25,0.25555557012557983
celebA-0,TopK 0.1,0.25,0.41111111640930176
celebA-0,TopK 0.1,0.25,0.2611111104488373
celebA-0,TopK 0.1,0.5,0.11666666716337204
celebA-0,TopK 0.1,0.5,0.3444444537162781
celebA-0,TopK 0.1,0.5,0.5608682036399841
celebA-0,TopK 0.1,0.75,0.22777777910232544
celebA-0,TopK 0.1,0.75,0.2611111104488373
celebA-0,TopK 0.1,0.75,0.40380874276161194
celebA-0,TopK 0.1,1.0,0.4555555582046509
celebA-0,TopK 0.1,1.0,0.1111111119389534
celebA-0,TopK 0.1,1.0,0.34063684940338135
celebA-0,TopK 0.5,0.1,0.5111111402511597
celebA-0,TopK 0.5,0.1,0.5555555820465088
celebA-0,TopK 0.5,0.1,0.4213709533214569
celebA-0,TopK 0.5,0.25,0.36666667461395264
celebA-0,TopK 0.5,0.25,0.4444444477558136
celebA-0,TopK 0.5,0.25,0.5333333611488342
celebA-0,TopK 0.5,0.5,0.21666666865348816
celebA-0,TopK 0.5,0.5,0.5
celebA-0,TopK 0.5,0.5,0.49444442987442017
celebA-0,TopK 0.5,0.75,0.35555556416511536
celebA-0,TopK 0.5,0.75,0.2611111104488373
celebA-0,TopK 0.5,0.75,0.25555557012557983
celebA-0,TopK 0.5,1.0,0.2222222238779068
celebA-0,TopK 0.5,1.0,0.3722222149372101
celebA-0,TopK 0.5,1.0,0.20555555820465088
cifar_mnist,TopK 0.1,0.1,0.718367338180542
cifar_mnist,TopK 0.1,0.1,0.24081632494926453
cifar_mnist,TopK 0.1,0.1,0.6979591846466064
cifar_mnist,TopK 0.1,0.25,0.8040816187858582
cifar_mnist,TopK 0.1,0.25,0.8408163189888
cifar_mnist,TopK 0.1,0.25,0.19183672964572906
cifar_mnist,TopK 0.1,0.5,0.6448979377746582
cifar_mnist,TopK 0.1,0.5,0.563265323638916
cifar_mnist,TopK 0.1,0.5,0.44081631302833557
cifar_mnist,TopK 0.1,0.75,0.20000000298023224
cifar_mnist,TopK 0.1,0.75,0.4612244963645935
cifar_mnist,TopK 0.1,0.75,0.2775510251522064
cifar_mnist,TopK 0.1,1.0,0.5755102038383484
cifar_mnist,TopK 0.1,1.0,0.044897958636283875
cifar_mnist,TopK 0.1,1.0,0.48571428656578064
cifar_mnist,TopK 0.5,0.1,0.44081631302833557
cifar_mnist,TopK 0.5,0.1,0.6081632375717163
cifar_mnist,TopK 0.5,0.1,0.5102040767669678
cifar_mnist,TopK 0.5,0.25,0.4204081594944
cifar_mnist,TopK 0.5,0.25,0.640816330909729
cifar_mnist,TopK 0.5,0.25,0.7102040648460388
cifar_mnist,TopK 0.5,0.5,0.7714285850524902
cifar_mnist,TopK 0.5,0.5,0.8775510191917419
cifar_mnist,TopK 0.5,0.5,0.8367347121238708
cifar_mnist,TopK 0.5,0.75,0.8653061389923096
cifar_mnist,TopK 0.5,0.75,0.8653061389923096
cifar_mnist,TopK 0.5,0.75,0.8367347121238708
cifar_mnist,TopK 0.5,1.0,0.8122448921203613
cifar_mnist,TopK 0.5,1.0,0.7836734652519226
cifar_mnist,TopK 0.5,1.0,0.8326530456542969
fmnist_mnist,TopK 0.1,0.1,0.8693877458572388
fmnist_mnist,TopK 0.1,0.1,0.9102040529251099
fmnist_mnist,TopK 0.1,0.1,0.9673469662666321
fmnist_mnist,TopK 0.1,0.25,0.9714285731315613
fmnist_mnist,TopK 0.1,0.25,0.9714285731315613
fmnist_mnist,TopK 0.1,0.25,0.9591836929321289
fmnist_mnist,TopK 0.1,0.5,0.9061224460601807
fmnist_mnist,TopK 0.1,0.5,0.9714285731315613
fmnist_mnist,TopK 0.1,0.5,0.8816326260566711
fmnist_mnist,TopK 0.1,0.75,0.9428571462631226
fmnist_mnist,TopK 0.1,0.75,0.918367326259613
fmnist_mnist,TopK 0.1,0.75,0.9265305995941162
fmnist_mnist,TopK 0.1,1.0,0.7387754917144775
fmnist_mnist,TopK 0.1,1.0,0.922448992729187
fmnist_mnist,TopK 0.1,1.0,0.9346938729286194
fmnist_mnist,TopK 0.5,0.1,0.5755102038383484
fmnist_mnist,TopK 0.5,0.1,0.9591836929321289
fmnist_mnist,TopK 0.5,0.1,0.3877550959587097
